x
-1 1
1 -3.02118637631e-05 2.53581715326e-05
2 -2.66030652079e-05 2.7391875653e-05
3 -3.17172830529e-05 3.38523036242e-05
4 -2.44304538446e-05 3.02050453392e-05
5 -2.627021402e-05 2.44807685315e-05
6 -2.48946811586e-05 2.80763854308e-05
7 -1.98676712496e-05 2.12611263614e-05
8 -2.33982866956e-05 2.38748366978e-05
9 -2.49391795882e-05 2.79835437294e-05
10 -2.01922093651e-05 2.11725249882e-05
11 -2.63056833237e-05 2.57184178278e-05
12 -2.51885956696e-05 2.41208060291e-05
13 -2.32708976685e-05 2.36800921947e-05
14 -1.50439531936e-05 2.96995961813e-05
15 -2.75355969678e-05 2.31425718455e-05
16 -3.5489211371e-05 2.55953436201e-05
17 -2.74087341121e-05 1.89042721133e-05
18 -2.281098384e-05 2.34354490599e-05
19 -2.83451543769e-05 2.06320135027e-05
20 -2.08997500597e-05 2.02864989651e-05
21 -2.32201705503e-05 3.16993631212e-05
22 -1.91857645984e-05 2.51161674219e-05
23 -2.51008533949e-05 2.89902016523e-05
24 -2.01451593404e-05 1.96989993007e-05
25 -3.18620826695e-05 1.77608854681e-05
26 -2.11581893183e-05 3.57748842733e-05
27 -3.19953137191e-05 2.74550011613e-05
28 -1.88852721845e-05 2.60202139649e-05
29 -1.69808693234e-05 2.31358950208e-05
30 -2.80034141068e-05 2.88501833534e-05
31 -2.79727139829e-05 1.9597515931e-05
32 -2.08081731829e-05 1.64177388449e-05
33 -2.32277120894e-05 3.11756099754e-05
34 -2.24072793713e-05 2.55161998849e-05
35 -2.5101799222e-05 3.03372029764e-05
36 -2.19687074958e-05 2.62573147883e-05
37 -2.40062179161e-05 2.28663996264e-05
38 -3.72504775246e-05 3.08018291953e-05
39 -2.73295738646e-05 2.5087856239e-05
40 -2.56172396704e-05 2.2383871247e-05
41 -2.29537084591e-05 1.86622789243e-05
42 -3.40103961134e-05 1.98410616417e-05
43 -2.14718779491e-05 2.49878181157e-05
44 -2.32525336992e-05 2.00054088046e-05
45 -3.27680273451e-05 2.9238988875e-05
46 -2.3623244906e-05 2.30820122931e-05
47 -2.5553143699e-05 2.46930159992e-05
48 -2.05683632875e-05 2.66712072235e-05
49 -2.161793453e-05 2.50414243125e-05
50 -2.85374792238e-05 2.85350670573e-05
51 -1.94764457253e-05 2.46771356545e-05
52 -1.85134206657e-05 2.59499188352e-05
53 -1.87912258543e-05 2.69607891634e-05
54 -2.90200692784e-05 3.38717303428e-05
55 -2.6559849608e-05 2.2619233087e-05
56 -2.59645198622e-05 2.25616707443e-05
57 -2.29193669071e-05 2.08094765207e-05
58 -2.92443400677e-05 2.47913168091e-05
59 -2.77085660969e-05 2.68088376828e-05
60 -2.28497533021e-05 2.34801751921e-05
61 -2.40112494936e-05 2.0909666081e-05
62 -2.98013218557e-05 3.47253549502e-05
63 -2.73632498723e-05 2.72616300049e-05
64 -2.43419607593e-05 2.48007715418e-05
65 -2.52905550971e-05 3.32463151681e-05
66 -2.73172932887e-05 4.09286293015e-05
67 -1.97713697001e-05 2.10615692626e-05
68 -2.28674106194e-05 3.01038092893e-05
69 -2.09071244437e-05 2.66119121443e-05
70 -2.50699212349e-05 1.88533061265e-05
71 -3.06174158215e-05 2.96247490198e-05
72 -2.66479458204e-05 2.34488026789e-05
73 -2.22380688111e-05 2.74729881023e-05
74 -3.9547415136e-05 3.41571985708e-05
75 -2.89342386781e-05 2.34207836024e-05
76 -2.07395134342e-05 2.79247713893e-05
77 -2.36292108239e-05 3.318109143e-05
78 -3.11333260646e-05 2.64109211921e-05
79 -2.29964503344e-05 2.83021283823e-05
80 -3.78950126074e-05 2.70226970138e-05
81 -2.30425300446e-05 1.88321060643e-05
82 -1.92084340743e-05 2.48678352073e-05
83 -2.75304967854e-05 2.51970834667e-05
84 -3.0470930788e-05 3.18738854108e-05
85 -2.2835718286e-05 2.38211962318e-05
86 -2.13007195686e-05 2.09669492062e-05
87 -3.02998569764e-05 1.58062229502e-05
88 -1.73010799829e-05 2.64453488695e-05
89 -2.93224949824e-05 1.96997718109e-05
90 -2.90751607227e-05 2.97936870901e-05
91 -2.416706932e-05 2.35417444118e-05
92 -2.3326371507e-05 2.42292206376e-05
